,title,video_id,channel_title,channel_id,description,date,viewCount,likeCount,dislikeCount,favoriteCount,commentCount,country
1347,"[일본반응] 차량용 반도체 부족해 한국에 매달리는 일본 &quot;이러다 닛산과 혼다가 망하겠어, 한국에 체면 차릴 때가 아니다&quot;",zvf5ijZtJJs,비더탑,UC_DlOTCne_apIyOOOb-VIVw,"안녕하세요, 최고의 대한민국을 꿈꾸는 BE THE TOP 비더탑입니다. 오늘은 차량용 반도체가 부족해 일본의 혼다와 닛산의 공장이 멈춰 한국에게 애원하는 일본의 ...",2021-01-12,163885.0,4738.0,110.0,0.0,475.0,일본
1348,[일본반응] 한국 1인당 국민소득(GNI) G7국가 이탈리아를 넘어섰다! 일본네티즌 열등감 폭발! 인정하지 못하고 질투 가득한 일본반응,zldx4BrdIUA,냥이의 세계번역 • 조회수 48만회,UC7TdrnXmqMkLFKvMkoMe-eA,"해외반응을 번역해 드리는 냥이입니다. 한국은 인당 국민소득(GNI)가 최초로 G7을 넘을 것으로 예측됩니다. G7은 미국, 영국, 프랑스, 독일, 이탈리아, 캐나다, 일본 ...",2021-01-12,8816.0,202.0,16.0,0.0,200.0,이탈리아 일본
1349,"[해외반응][일본반응] 이란 한국 유조선 나포! 세계 네티즌은 어떻게 생각할까? 일본반응, 중국반응, 이란반응, 미국반응",8VtFYtd2IVE,냥이의 세계번역 • 조회수 48만회,UC7TdrnXmqMkLFKvMkoMe-eA,1월 6일 이란의 혁명수비대가 한국의 유조선을 나포했습니다. 이란에 대한 미국의 제재의 일환으로 국내에 동결된 이란자금 70억 달러를 돌려받기 위한 협상의 일환 ...,2021-01-11,1989.0,39.0,5.0,0.0,7.0,이란 중국 미국 일본
1350,"[일본반응] &quot;한국, 우리가 생각하는 것보다 훨씬 대단한 나라잖아? 왜 일본만 인정 못하는거야?&quot; 글쓴이의 팩폭에 진심 토로하는 일본 네티즌들",nfN4SeR7R_0,썸띵튜브,UCNo4PkQOuxinaAWQFA3PoAQ,"한류 #일본반응 #해외반응 출처: https://swallow.5ch.net/test/read.cgi/livejupiter/1609880462/l50 일본인들은 자신보다 약하다고 생각하면 철저히 무시하고, 자신 ...",2021-01-06,36796.0,1314.0,51.0,0.0,72.0,일본
1351,한국산 김을 일본인보다 더 많이 먹는 미국인들 - 세계인의 수퍼푸드 우리나라 김(해외반응),jcNkaPvCtxM,호기심 KOREA,UCmfJM_VTJ2AECyTwf-vEL8g,해외에서 '슈퍼 푸드'로 인식되고 있는 한국산 김에 대한 해외반응입니다. 향긋하고 고소한 우리나라 김이 건강한 먹거리로 급부상하며 세계적으로 인기를 끌고 ...,2021-01-09,211540.0,2671.0,61.0,0.0,309.0,미국 일본
1352,&quot;일본이 이 정도 일 줄은 몰랐다&quot; 한국에서 살다가 일본으로 간 외국인이 경악한 이유 // &quot;한국에서의 행복이 그리워&quot; [해외반응],iSXYTjS2Ln0,세상을말하다,UCSIx66_89zLSFOucZuBqxMQ,구독하기 : https://bit.ly/34TlXrB 한국에서 살다 최근 일본으로 간 외국인이 글을 올렸고 많은 외국인의 관심을 받았습니다. #해외반응 #외국인반응 #외국인.,2021-01-09,195842.0,5876.0,131.0,0.0,377.0,일본
1353,"[일본반응] 세계 전기차배터리 Top5에 한국기업이 3곳이나? LG화학, 삼성SDI, SK이노베이션 성장에 일본반응 &quot;한국기술의 원조는 일본이다&quot;",2Z7X-VqDPS0,냥이의 세계번역 • 조회수 48만회,UC7TdrnXmqMkLFKvMkoMe-eA,"한국 2차전지 배터리 3개사가 글로벌 TOP5에 모두 들어갔다는 기사가 야후재팬에 기고되었습니다. LG화학, 삼성SDI, SK이노베이션 한국의 배터리 업체 3곳이 ...",2021-01-09,7432.0,198.0,5.0,0.0,23.0,일본
1354,"[일본 반응 한국의 KFX는 조립 최종단계에 등극했다! 대한민국의 5세대 스텔스 전투기! 통쾌한 대반전, 놀라운, 상황.",OBXf13t4Z0M,대고구려제국,UCZcAFmohWEhKP2XA3Zf766g,"한국에 대한 기쁜 속보를 전해드립니다, 한국군의 미래를 책임지는, 국산 KF-X 전투기! 한민족, 역사상 가장 거대한 프로젝트! 최종적으로, 5세대 스텔스 전투기를 목표 ...",2021-01-10,264974.0,5506.0,187.0,0.0,307.0,일본
1356,[일본반응] &quot;분하지만 일본 드라마는 한국에게 완패했다!&quot; 한국 드라마는 모든게 완벽하다며 감탄하는 일본 네티즌들,5Q4Cn6Su-yk,썸띵튜브,UCNo4PkQOuxinaAWQFA3PoAQ,"한류 #한국드라마 #일본반응 출처: https://news.yahoo.co.jp/articles/a04bec4877235fe57830ac3e956b9dc2f3caad24 일본 야후 재팬에 '울고, 웃고, 설레고! 한국 ...",2021-01-12,13061.0,576.0,11.0,0.0,59.0,일본
1359,[일본반응] 확진자 8천명 나오자 한국에 사과하는 일본인들 &quot;이제 한국에 무릎을 꿇어서라도 일본을 탈출해야한다&quot;,lUKK1kXG7Rw,비더탑,UC_DlOTCne_apIyOOOb-VIVw,"안녕하세요, 최고의 대한민국을 꿈꾸는 BE THE TOP 비더탑입니다. 오늘은 일본인들이 한국에게 사과하며 도와달라고 하는 이유와 그에 대한 반응을 알아보겠습니다 ...",2021-01-09,242446.0,7442.0,199.0,0.0,953.0,일본
1360,[일본반응] 주민등록등본 발급에 5시간 걸리는 일본인들 &quot;한국은 인터넷으로 5초면 되는데 일본은 본적지까지 직접 가야하네&quot;,VSp86Xj7zN4,비더탑,UC_DlOTCne_apIyOOOb-VIVw,"안녕하세요, 최고의 대한민국을 꿈꾸는 BE THE TOP 비더탑입니다. 오늘은 일본인들이 한국의 전자행정시스템을 부러워하는 이유에 대해서 알아보겠습니다. 영상이 ...",2021-01-08,79906.0,2367.0,43.0,0.0,310.0,일본
1363,[일본반응] 한국 해외건설 수주 38조 3천억 달성 5년간 최대실적,pxc7q8_YF5w,리얼일본반응,UCWUBbBCszvKsDizxIKpjNGQ,"일본반응 일본반응, 일본 반응, 해외반응, 해외 반응, 일본, 한국, 미국, 반응, 일본 불매운동, 최고수익률, 깡통튜브,경제, 문화, 뉴스, 일본방송, 유행통신, 쓸모왕, 해외 ...",2021-01-09,4320.0,102.0,8.0,0.0,10.0,일본
1364,(중국반응) 스위트홈 기록 또 경신! &quot;한국 드라마때문에 뜬눈으로 밤을 새고있어&quot;,xs_CIZjEaWo,응답하라TV,UCSfqKeohWbxz0OujuhL_OmA,한국드라마가 세계를 잠 못이루게 합니다. 이에 네티즌의 반응 #중국반응 #해외반응 #스위트홈 #한국드라마.,2021-01-12,3693.0,57.0,3.0,0.0,12.0,중국
1366,[일본반응] 한국은 이런것도 자동이야? 일본인들이 제발 일본에도 만들어 달라며 경악한 &#39;이것&#39; 지금까지 왜 이런 발상을 못했을까? 한국인은 정말 천재적이다&quot;,BjIiBxgIHKY,소녀통신 • 조회수239만회,UCjDWkLPAXMbQB5wiwc-BytA,누구나 한번쯤은 한강에서 자전거를 타거나 산책을 한 뒤 혹은 한강으로 피크닉을 갔을때 편의점을 이용하여 라면을 드셔보셨던 기억이 있으실 겁니다 아마도 이때 컵 ...,2021-01-12,150097.0,4727.0,86.0,0.0,289.0,일본
