,video_id,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
1768,lpPt_vCPmtk,64145,1243,14,0,156
1769,g_VA9tlE3Gg,210975,5351,120,0,1154
1770,Fz4jn9BWiK0,26366,819,16,0,56
1771,SCRgAo2auBk,252376,4940,103,0,389
1772,NLYbGyt2Sf4,788239,13272,384,0,507
1773,3BoyHVBqFf0,289949,3802,143,0,299
1774,CkrWY4m74lE,164799,3272,115,0,602
1775,ncHI-URWiJI,360027,6765,187,0,854
1776,sMpkyBjxTvU,91326,3379,56,0,169
1777,3K-YxFxB7Js,101901,3279,42,0,159
1778,oO0JvqLHG_M,316746,8885,165,0,242
1779,kFtjIh66tMQ,21087,881,27,0,134
1780,tsztnCxZaiA,202702,4563,119,0,671
1781,Mp3BPwjAHAI,4655325,44681,610,0,2808
1782,WXCBjd0PpBk,549810,18820,338,0,1798
1783,rsnQg8W6228,438839,13405,381,0,635
1784,LuZtRB2gir8,111565,828,53,0,1040
1785,JYmPYsY0kAc,10395,88,25,0,7
1786,0myBjZrg2CU,525311,9561,358,0,2393
1787,SGRK1dmlK4k,343209,4812,121,0,407
1788,xrIPskKDdHw,1341897,27902,540,0,1521
1789,_rHk2it61Vk,440782,9612,238,0,616
1790,QZpIqGsHqUw,1075273,19277,527,0,1296
1791,MekrIopUWOo,322668,9559,220,0,1117
1792,qYZZFxZxCoY,219442,5468,119,0,1814
1793,GCkp54ImnKc,70350,2989,38,0,259
1794,BlDuYI8pvSE,110688,3203,30,0,163
1795,usjHEPHpS10,281930,5492,133,0,929
1796,yG51bjQcmRc,23536,673,24,0,68
1797,zfvhnDT0sY8,326818,7470,175,0,827
1798,k-S7rs08YdQ,546138,9453,161,0,1361
1799,BabKNe2d7Y0,5493,264,8,0,69
1800,ZoLJM4oNy84,42875,1360,21,0,116
1801,SN5oUr0QWVg,34875,741,17,0,139
1802,fBCYCZdunv0,496893,7601,247,0,2414
1803,wuuEN7R8Ip4,349468,11024,233,0,340
1804,6rXUMZtAncA,333749,6211,157,0,519
1805,lJdPNJk-UlY,360280,6289,285,0,1828
1806,4Gd5AA45ijY,390308,10004,169,0,1052
1807,4_Ta3QTSso4,1111240,11836,379,0,1153
1808,Dmv94aL_rK8,132968,2324,65,0,679
1809,HKShz-TWdRc,137682,3345,79,0,867
1810,skbQnsUfPUs,480140,7608,607,0,414
1811,s7VzgpvURhg,91225,1567,39,0,438
1812,oxaDQJWHOXk,158585,4312,75,0,468
1813,LFiSbPQbcic,1155721,15749,490,0,1070
1814,hu-gWRb5Kf0,92644,2883,39,0,242
1815,Tb6-6rf4yNk,205138,6051,109,0,620
1816,Ay1E4AbjLPY,944802,21839,683,0,3759
1817,ZdiyY5U59IU,198957,5882,119,0,521
1818,R4McYkkqyDE,92146,2773,42,0,522
1819,0hCGLmwZ5dE,142054,3953,68,0,844
1820,v5B3PMD8pKc,394844,6229,209,0,314
1821,FqtlffTUrr0,34962,1173,21,0,273
1822,7B9hnc-KpBQ,127074,4063,115,0,324
1823,B1iuaD4Jk7I,75608,2602,71,0,735
1824,JBxkFurbaBc,150663,3981,61,0,616
1825,BNk4BrC5yLY,48369,1167,35,0,629
1826,-cMd9mo-Pno,234866,8098,183,0,414
1827,wz9h4KufO8E,262870,8980,195,0,632
1828,POgKAG9eOBI,440933,8372,212,0,2410
1829,2yq44xu8hZU,1036,19,9,0,7
1830,k6pd6IHcjKY,17834,620,8,0,80
1831,KIaJbNyBzB4,19401,405,10,0,154
1832,DmZU1UZrscI,377457,7284,66,0,696
1833,SPv6xr_-pNs,360278,8160,200,0,2936
1834,a0eeY6U6dN0,92439,2724,63,0,82
1835,P2xLsi76HrM,1140588,19844,1777,0,4219
1836,HmFilUwe-AY,295452,9065,182,0,496
1837,SxSJsp2hFqA,97556,2447,52,0,84
1838,yO8ZCzP3Nb4,11025,538,13,0,37
1839,w9Y1T7Zwjgc,46088,1174,77,0,215
1840,3zMqoNWtjV4,7639,338,8,0,16
1841,ixGIi4uM1is,103582,3773,50,0,572
1842,VAlH1_IwHwY,104571,2809,78,0,132
1843,Hag5uYIk7SE,13308,713,10,0,57
1844,yABCSZo3xt4,26557,875,23,0,51
1845,pCKvaxByW_I,72563,3043,92,0,589
1846,yofBnp4eFL8,129028,4206,204,0,801
1847,QsxD0y83m0U,9220,324,6,0,22
1848,-kqhvtdgBMc,88738,8,0,0,2
1849,A1bUN-mN1rs,0,1587,23,0,107
1850,-y6SrpAvwt4,99,9,0,0,4
1851,zRD_DvqYMxg,166188,4519,42,0,86
1852,i7roN1NYgGo,17529,125,16,0,256
1853,NP2nvIiZaf0,74289,0,0,0,1324
1854,YFTEQh48Gpk,56400,1262,25,0,83
1855,G4vt3nMD5g4,388993,8229,102,0,161
1856,7YAk__TBrKw,6429183,50404,2117,0,12250
1857,M1Ewzvkmn8g,47373,1137,27,0,116
1858,3arQOLPlP1s,359247,6096,144,0,191
1859,g5T2elOuLc0,88220,3434,72,0,450
1860,W5REQJwhIkI,783,21,1,0,14
1861,O3TOKYLSi60,915958,20416,889,0,892
1862,x4CG2HhKsX4,187142,5933,160,0,792
1863,w9axk2-NLXg,35491,1320,101,0,124
1864,vekXAzQL3wQ,438524,8376,207,0,446
1865,Oo3gvBQXkT0,1727877,25042,668,0,919
1866,yGfgDz7RXBM,53351,1841,44,0,100
1867,AkCPtYJnx0c,88841,2344,66,0,103
1868,KvYL3I5XA2I,42855,836,28,0,137
