,title,video_id,channel_title,channel_id,description,date
33,[일본반응] 드디어 한국이 AESA레이더 완제품 개발에 성공! 해외에서도 놀란 기대이상 성능에 일본은 불가능하다며 충격,R0QTPgrMMkY,세상을말하다,UCSIx66_89zLSFOucZuBqxMQ,구독하기 : https://bit.ly/34TlXrB 드디어 주변국과 많은 강대국들을 긴장시킬 한국형 전투기 KFX 개발에 박차를 가해줄 AESA 레이더(위상배열 레이더) 완제품 개발에 ...,2020-07-04T01:00:03Z
34,한국과 관련된 전자 안내판을 비난하고 나선 일본네티즌반응과 일본상황,BBsqzLcq_Xo,구네스북,UClHJcrFMOxCEPjjg6WlTmPw,"한국과 관련된 안내판을 비난하고 나선 일본반응과 일본상황을 다뤘습니다. * 구네스북 그래픽 디자인은 자체 제작되었고, 자료사진과 자료영상은 라이센스비용을 ...",2020-07-07T03:00:05Z
35,"[일본반응] 美선정, 세계 최고의 라면은 한국의 &quot;신라면 블랙&quot; &quot;또 재발하는 일본의 열등감&quot;",PQaf-0htLzE,베이비버그 BabyBug,UCwi3lDb3ovlUO_Ds6QfdKqA,"""구독과 좋아요 그리고 ""알림설정""을 꼭 눌러주세요"" ""생각은 댓글에 남겨주세요"" (내용) ▷미국 3대 일간지 '뉴욕타임즈'가 세계에서 가장 맛있는 라면으로.",2020-07-03T10:00:16Z
36,프랑스 남자에게 한국브랜드의 빵을 줘봤어요. 과연 반응은?,bS6M__p8zPU,SOLTUBE솔튜브,UCOLOO8-5PkDL3qTQP1CgkrQ,"안녕하세요, 채널 방문해주셔서 감사드려요! 재미와 유익함을 드리기위해 더 노력하는 솔튜브 되겠습니다. 구독과 좋아요, 댓글은 사랑입니다♥ 유튜브 채널: ...",2020-07-06T10:15:02Z
37,해외반응 일본반응 한국의 반도체 삼성 영업이익 SSD 수출 대만을 제치고 세계 1위 기업 경제 순위 !,jGfULRqsmao,대고구려제국,UCZcAFmohWEhKP2XA3Zf766g,해외반응 #외국인반응 #네티즌반응 삼성 반도체 SK LG 기업 2분기 영업이익 인기급상승동영상1위 한국 VS 일본 비교 세계 경제 순위 10위에 들어간 한국 반대로 ...,2020-07-07T05:46:09Z
38,해외반응 일본반응 한국의 항공모함 KCVX ! 국산 첨단 기술로 개발! 깜짝놀란 일본 ! 세계 강대국 한국군 !,PNbvf9r4cu8,대고구려제국,UCZcAFmohWEhKP2XA3Zf766g,해외반응 #외국인반응 #네티즌반응 인기급상승동영상1위 한국 해군이 개발하는 한국형 항공모함 KCVX ! 함재기는 F-35 항모 전단은 KDDX 이지스 구축함 세종대왕 ...,2020-07-05T11:25:07Z
39,"[코스타리카반응] 한국,코스타리카에 마스크 30만개 기부 코스타리카 사회보장청 방송 보도",02Lmir8YutA,남미남자,UCKrXBdpehmqMtSeJBtugvjQ,관련링크* https://www.facebook.com/ccssdecostarica/videos/2047842408673584.,2020-07-03T00:03:57Z
40,일본방송에 나온 한국에 있는 대단한 것 [일본반응],nO2FrR7UgWg,모노티비,UCrobJ9EFLovrsaNXtojgHCQ,코엑스에 설치되어 있는 초대형 전광판입니다 일본반응 일본방송 해외반응.,2020-07-06T13:33:05Z
41,&quot;기적의 나라 한국!&quot; 국제 올림픽위원회의 한국 극찬에 감동한 해외네티즌 반응,nFgd1v_kfPk,구네스북,UClHJcrFMOxCEPjjg6WlTmPw,"국제 올림픽위원회의 한국 극찬에 감동한 해외네티즌 반응을 다뤘습니다. * 구네스북 그래픽 디자인은 자체 제작되었고, 자료사진과 자료영상은 라이센스비용을 적법 ...",2020-07-02T03:00:03Z
42,"🔥[한국반응 폭발] &#39;인도네시아 KF-X 개발 분담금! 5,000억 못 줘! #KF-X#인도네시아#한국반응",nBLNECbZ3MA,서툰TV,UCcweYi1n6_Ams6Ioao5nadA,한국 방위사업청과 인도네시아 국방부는 2010년 7월 인도네시아가 개발비의 20%를 투자하고 양산시 인도네시아 공군용인 IF-X를 50대 구매하는 내용의 KF-X 공동 ...,2020-07-07T22:00:20Z
43,🔥[일본반응 폭발] &#39;일본 열도를 뒤집은 한국 클라쓰! #이태원클라쓰#일본반응#넷플릭스,NgbjUuUgopQ,서툰TV,UCcweYi1n6_Ams6Ioao5nadA,지난번 영상에서는 현재 일본에서 큰 인기를 끌고 있는 '사랑의 불시착' 열풍에 대해서 말씀드렸는데요~ 오늘은 '사랑의 불시착'에 버금가는 한국 드라마 '이태원 클라 ...,2020-07-05T20:30:32Z
44,해외반응 중국반응 중국인들이 사랑하는 한국 남자연예인은? 김종국 3위 1위는 누구인가 외국인 네티즌반응,GQ7q7m3mcD8,"사건왕-[해외반응, 외신뉴스]",UCAlph4Sj99Zp3WknwvjKckw,안녕하세요 시청자 그리고 구독자님들 사사건건파해치는 사건왕입니다. 바쁜시간에 영상시청해주셔서 정말정말 감사드립니다. 기회가 된다면 다음에 또 뵙고싶네요 ...,2020-07-06T05:29:06Z
45,"해외반응 일본반응 일본이 침몰한 이유 ! 반면 , 한국의 놀라운 저력 ! 세계 경제 GDP 순위 !",riGSw9ZRN-U,대고구려제국,UCZcAFmohWEhKP2XA3Zf766g,해외반응 #외국인반응 #네티즌반응 인기급상승동영상1위 한국 VS 일본 비교 세계 경제 순위 10위에 들어간 한국 반대로 아베 일본은 내려가고있군요 대한민국의 ...,2020-07-06T12:06:14Z
46,[일본반응] 한국에 위기감을 가져야 한다는 일본인들 반응,Yi6owgMdS1o,소녀통신 • 조회수239만회,UCjDWkLPAXMbQB5wiwc-BytA,일본인들이 댓글을 다는 사이트에 흥미로운 주제가 포스팅 되었습니다 아직도 한국 제품은 품질이 낮다던가 기술력이 없다고말하는 사람은 오히려 일본의 적과 다름 ...,2020-07-01T09:42:33Z
