,title,video_id,date
108,중국반응│이해할 수 없는 한국문화│중국인이 본 한국과 한국인들│한국인들의 생활 &amp; 한국의 대중교통(시설) &amp; 사회제도│중국어로[路] ​,YkoGh9DNkAw,<class 'datetime.date'>
109,[중국반응] 한국은 언제부터 선진국이었을까? 팩트로 알리는 선진국 한국!,hEMWXSdDTjc,<class 'datetime.date'>
110,한국 전투식량을 처음 먹어본 일본배우 반응! 韓国軍人の戦闘食ビビンバを食べてみました！Korea Army Food [Bibimbap] MUKBANG EATING SHOW,Zxj1FBkUwmg,<class 'datetime.date'>
111,"[해외반응] 한국의 &#39;이 제품&#39;에 외국인들이 충격받은 이유, 도대체 왜 이런 것까지 만드는거야",XzshwxbbA5U,<class 'datetime.date'>
112,[단독해외반응] 한국이 미국 선제 공격하자 미국과 전 세계가 충격먹은 이유//13억 달러 방위비 요구에 폭발한 한국 반응에 미국마저 당황,pujP17dl3g4,<class 'datetime.date'>
113,중국반응│한국에게 경외심을 갖는 이유│한국인들의 장점과 단점│한국인들은 슈퍼맨 같아 vs 불쌍해│중국어로[路],F511wHG6yDk,<class 'datetime.date'>
114,"[해외반응] 한국 거주 외국인이 영상으로 남긴 6개월간의 놀라운 기록, &#39;한국의 대처에 한숨만 나온다&#39;",pi_WiIR0TK4,<class 'datetime.date'>
115,[해외반응] 콜롬비아가 축구경기 사과까지 하고 눈물 흘리며 한국에게 감사하는 이유//참전국에 대한 60억 통큰지원..한국의 은혜를 잊지 않겠습니다!!,CLXgTUiOYQ8,<class 'datetime.date'>
116,[해외반응] 미국 주립대교수의 강의 &quot;한국이 미래를 주도한다&quot;             #외국반응 #일본반응 #해외반응 #한류 #한국문화 #현지반응 #김구 #bts #블랙핑크,kSjWxY_V6NA,<class 'datetime.date'>
117,한국의 여배우를 본 러시아 남자 배우 반응. 이상형 월드컵!,s-fTOWeqSJo,<class 'datetime.date'>
118,이탈리아 회사에서 한국인 가족이 대우 받은 이유! 한국 마스크 반응이 대단하네요... feat. 발사믹식초 회사 2편,EusGBmcV_eQ,<class 'datetime.date'>
